EF,count,anger,disgust,fear,happiness,neutral,sadness,surprise
습니다,172,0.5279069767441861,0.17499999999999996,0.0,0.023837209302325583,0.261046511627907,0.0029069767441860465,0.009302325581395349
라구요,33,0.712121212121212,0.09999999999999999,0.039393939393939405,0.05757575757575757,0.06363636363636366,0.0,0.027272727272727275
네요,53,0.3962264150943395,0.18679245283018858,0.009433962264150943,0.10754716981132074,0.24528301886792442,0.028301886792452827,0.026415094339622643
네,187,0.35989304812834216,0.0941176470588235,0.018181818181818177,0.23475935828877,0.21390374331550813,0.043315508021390385,0.03582887700534758
어요,475,0.5498947368421053,0.14800000000000024,0.0018947368421052633,0.0808421052631579,0.16421052631578958,0.03389473684210527,0.021263157894736835
ᆸ니까,110,0.661818181818182,0.15181818181818182,0.0027272727272727275,0.016363636363636365,0.1263636363636363,0.0009090909090909091,0.04
ᆫ가,93,0.3870967741935484,0.07526881720430109,0.0,0.26236559139784943,0.1806451612903225,0.05591397849462365,0.03870967741935485
어,3055,0.21083469721767592,0.02873977086743046,0.03875613747954166,0.25135842880523684,0.19738134206219454,0.22638297872340377,0.04654664484451708
야,761,0.2716162943495401,0.03272010512483578,0.0513797634691196,0.304336399474376,0.1530880420499343,0.07752956636005262,0.1093298291721419
라구,15,0.7200000000000001,0.12000000000000001,0.0,0.11333333333333334,0.04666666666666666,0.0,0.0
어서,14,0.5214285714285715,0.042857142857142864,0.0,0.22142857142857145,0.20714285714285716,0.0,0.0071428571428571435
래,18,0.05,0.011111111111111112,0.011111111111111112,0.061111111111111116,0.25,0.588888888888889,0.027777777777777776
대,53,0.009433962264150943,0.009433962264150943,0.0679245283018868,0.0018867924528301887,0.20377358490566028,0.6264150943396226,0.08113207547169811
지,483,0.1082815734989648,0.03954451345755692,0.013043478260869563,0.3037267080745341,0.2666666666666665,0.14534161490683228,0.12339544513457561
자,170,0.09882352941176464,0.01529411764705883,0.15352941176470591,0.09117647058823529,0.17235294117647068,0.33764705882352947,0.1311764705882353
자니까,18,0.6000000000000001,0.0,0.01666666666666667,0.0,0.01666666666666667,0.35,0.01666666666666667
냐,145,0.2634482758620691,0.09862068965517241,0.01862068965517242,0.24482758620689665,0.15931034482758621,0.09241379310344827,0.12275862068965522
잖아,380,0.3271052631578949,0.03289473684210524,0.06394736842105266,0.19157894736842107,0.14368421052631597,0.16842105263157897,0.07236842105263158
을까,38,0.12631578947368424,0.018421052631578946,0.002631578947368421,0.1894736842105263,0.1368421052631579,0.5236842105263159,0.002631578947368421
ᆫ데,92,0.2673913043478261,0.03369565217391304,0.03152173913043479,0.17282608695652177,0.18152173913043476,0.19239130434782617,0.12065217391304346
ᆯ게,197,0.08527918781725886,0.008629441624365483,0.04568527918781727,0.5335025380710662,0.24670050761421336,0.03654822335025381,0.04365482233502537
애,23,0.16956521739130434,0.05652173913043478,0.004347826086956522,0.16086956521739132,0.20434782608695654,0.3521739130434782,0.05217391304347826
다니까,27,0.14814814814814814,0.02592592592592593,0.0,0.5740740740740741,0.1925925925925926,0.044444444444444446,0.014814814814814815
다,271,0.11217712177121775,0.07343173431734315,0.014760147601476018,0.46014760147601497,0.21180811808118105,0.08450184501845019,0.043173431734317314
ᆫ다,90,0.07222222222222222,0.01111111111111111,0.0,0.7377777777777779,0.14999999999999994,0.025555555555555557,0.003333333333333334
니까,51,0.5215686274509803,0.06274509803921569,0.03137254901960784,0.2411764705882353,0.07647058823529414,0.027450980392156862,0.0392156862745098
구,28,0.16785714285714287,0.06071428571428573,0.0,0.07142857142857142,0.3678571428571428,0.3071428571428571,0.025
ᆯ래,4,0.425,0.1,0.0,0.175,0.3,0.0,0.0
니,9,0.12222222222222223,0.05555555555555555,0.0,0.5,0.12222222222222223,0.15555555555555556,0.044444444444444446
어야지,113,0.4575221238938054,0.0654867256637168,0.06991150442477875,0.15398230088495574,0.15663716814159295,0.029203539823008853,0.06725663716814159
ᆯ려고,3,0.26666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.39999999999999997
는군요,2,0.3,0.25,0.0,0.0,0.44999999999999996,0.0,0.0
에요,153,0.5588235294117649,0.142483660130719,0.0032679738562091504,0.052941176470588235,0.19738562091503264,0.013725490196078431,0.03137254901960785
ᆫ가요,35,0.6599999999999999,0.14,0.0,0.002857142857142857,0.1857142857142857,0.005714285714285714,0.005714285714285714
다구요,26,0.7461538461538461,0.07692307692307693,0.0,0.0,0.10384615384615387,0.0038461538461538464,0.06923076923076922
ᆯ까,36,0.16111111111111112,0.036111111111111115,0.005555555555555556,0.2777777777777779,0.29999999999999993,0.19166666666666665,0.027777777777777776
죠,180,0.5183333333333332,0.19611111111111118,0.012222222222222223,0.003333333333333333,0.24277777777777793,0.0011111111111111111,0.026111111111111113
세요,169,0.5573964497041419,0.14437869822485216,0.008284023668639054,0.14378698224852077,0.12662721893491127,0.000591715976331361,0.018934911242603557
다뇨,1,0.8,0.2,0.0,0.0,0.0,0.0,0.0
예요,64,0.7140625000000002,0.1203125,0.0078125,0.0109375,0.12031249999999999,0.003125,0.0234375
라뇨,2,0.7,0.25,0.0,0.0,0.05,0.0,0.0
라니,2,0.39999999999999997,0.0,0.3,0.0,0.05,0.0,0.25
다니까요,6,0.5833333333333334,0.20000000000000004,0.0,0.0,0.21666666666666667,0.0,0.0
구만,5,0.4800000000000001,0.24,0.0,0.0,0.27999999999999997,0.0,0.0
어야죠,16,0.41874999999999984,0.19375000000000003,0.0,0.0125,0.36874999999999997,0.0,0.00625
은데,22,0.4636363636363636,0.09090909090909091,0.013636363636363636,0.08636363636363636,0.23636363636363636,0.004545454545454546,0.10454545454545454
ᆸ시다,25,0.4,0.23200000000000004,0.0,0.044000000000000004,0.31200000000000006,0.008,0.004
는데요,18,0.6499999999999999,0.17222222222222222,0.0,0.0,0.11666666666666667,0.0,0.061111111111111116
나요,45,0.49777777777777776,0.17111111111111113,0.0,0.042222222222222223,0.2577777777777778,0.0022222222222222222,0.02888888888888889
잖아요,107,0.6186915887850467,0.11588785046728971,0.016822429906542057,0.02336448598130842,0.19719626168224294,0.014018691588785048,0.014018691588785047
라고요,17,0.6941176470588236,0.09411764705882353,0.0,0.1,0.08823529411764708,0.0,0.023529411764705882
냐고,37,0.7162162162162162,0.06216216216216216,0.005405405405405406,0.0972972972972973,0.0864864864864865,0.008108108108108109,0.024324324324324322
ᆸ니다,93,0.36021505376344093,0.22473118279569898,0.009677419354838708,0.08494623655913978,0.3064516129032258,0.006451612903225807,0.007526881720430108
라고,42,0.5761904761904761,0.10000000000000002,0.01666666666666667,0.16904761904761903,0.0976190476190476,0.002380952380952381,0.0380952380952381
는데,65,0.20615384615384613,0.08615384615384616,0.03538461538461539,0.21076923076923074,0.2507692307692308,0.15384615384615388,0.05692307692307692
고,65,0.26461538461538464,0.09538461538461536,0.0,0.13846153846153847,0.2892307692307692,0.20153846153846156,0.010769230769230769
ᆫ다고,22,0.3409090909090909,0.02727272727272727,0.013636363636363636,0.3318181818181818,0.25,0.02727272727272727,0.009090909090909092
ᆫ다니까,10,0.21000000000000002,0.0,0.0,0.61,0.18000000000000002,0.0,0.0
라,24,0.0375,0.029166666666666664,0.012500000000000002,0.5249999999999999,0.21666666666666667,0.1125,0.06666666666666667
거든,18,0.03888888888888889,0.011111111111111112,0.0,0.38888888888888884,0.27777777777777773,0.27777777777777785,0.005555555555555556
다잖아,28,0.07142857142857142,0.014285714285714287,0.18571428571428572,0.03928571428571429,0.21428571428571433,0.4214285714285714,0.05357142857142858
지만요,1,0.9,0.1,0.0,0.0,0.0,0.0,0.0
려고,13,0.5769230769230769,0.02307692307692308,0.06923076923076922,0.0,0.007692307692307693,0.0,0.3230769230769231
습니까,38,0.5947368421052633,0.18157894736842103,0.002631578947368421,0.002631578947368421,0.2026315789473684,0.0,0.01578947368421053
게요,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
거든요,20,0.595,0.145,0.01,0.0,0.19000000000000003,0.0,0.06
ᆯ게요,58,0.5931034482758619,0.15172413793103445,0.006896551724137932,0.04655172413793103,0.1793103448275862,0.0,0.022413793103448276
ᆫ다구요,4,0.55,0.2,0.1,0.0,0.125,0.0,0.025
ᆸ시요,1,0.8,0.1,0.0,0.0,0.1,0.0,0.0
는다,3,0.13333333333333333,0.0,0.0,0.4333333333333333,0.4000000000000001,0.0,0.03333333333333333
냐구,15,0.6066666666666667,0.06666666666666667,0.11333333333333334,0.12666666666666665,0.06666666666666667,0.0,0.020000000000000004
구나,19,0.005263157894736842,0.13157894736842105,0.010526315789473684,0.17368421052631577,0.4526315789473685,0.1368421052631579,0.08947368421052632
구요,32,0.509375,0.153125,0.009375000000000001,0.003125,0.2875000000000001,0.00625,0.03125
으니까,6,0.26666666666666666,0.06666666666666667,0.0,0.11666666666666665,0.3166666666666667,0.2333333333333333,0.0
ᆫ다니,1,0.2,0.3,0.0,0.0,0.5,0.0,0.0
나,10,0.20999999999999996,0.04,0.06,0.06,0.51,0.03,0.09000000000000001
더라,3,0.13333333333333333,0.0,0.0,0.0,0.23333333333333336,0.6333333333333333,0.0
재,5,0.04,0.0,0.0,0.0,0.02,0.76,0.18
더라고,2,0.45,0.1,0.0,0.0,0.0,0.45,0.0
어라,11,0.4,0.03636363636363637,0.02727272727272728,0.23636363636363633,0.18181818181818185,0.08181818181818182,0.03636363636363637
을게,7,0.09999999999999999,0.014285714285714287,0.0,0.4714285714285714,0.37142857142857144,0.0,0.042857142857142864
다고,20,0.39499999999999996,0.05500000000000001,0.02,0.08,0.18500000000000003,0.135,0.13000000000000003
라니까,7,0.31428571428571433,0.014285714285714287,0.1142857142857143,0.21428571428571427,0.1571428571428571,0.07142857142857142,0.1142857142857143
애요,10,0.5599999999999999,0.32999999999999996,0.0,0.0,0.11000000000000001,0.0,0.0
ᆫ대,21,0.5285714285714285,0.08095238095238096,0.0,0.1,0.19047619047619052,0.004761904761904762,0.09523809523809526
ᆫ다니까요,1,0.9,0.0,0.0,0.0,0.1,0.0,0.0
자구,3,0.9333333333333332,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
ᆯ걸,1,0.0,0.0,0.0,0.0,0.2,0.8,0.0
냐구요,10,0.78,0.1,0.0,0.0,0.11000000000000001,0.0,0.01
요,19,0.4789473684210526,0.15789473684210525,0.03684210526315789,0.031578947368421054,0.15263157894736842,0.0,0.14210526315789473
ᆸ쇼,6,0.5499999999999999,0.20000000000000004,0.0,0.15,0.09999999999999999,0.0,0.0
은데요,6,0.7166666666666667,0.16666666666666666,0.0,0.0,0.11666666666666665,0.0,0.0
던데,3,0.3333333333333333,0.3666666666666667,0.0,0.0,0.3,0.0,0.0
잖니,3,0.0,0.0,0.0,0.0,0.2333333333333333,0.7666666666666666,0.0
다면서,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
을까요,7,0.4285714285714285,0.2285714285714286,0.07142857142857142,0.0,0.2285714285714286,0.028571428571428574,0.014285714285714287
다구,6,0.3666666666666667,0.016666666666666666,0.0,0.0,0.03333333333333333,0.5833333333333334,0.0
자고,3,0.6666666666666666,0.0,0.09999999999999999,0.0,0.13333333333333333,0.0,0.09999999999999999
는구나,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ᆯ까요,15,0.5066666666666667,0.18666666666666668,0.0,0.05333333333333333,0.24666666666666667,0.0,0.006666666666666667
으라고,2,0.85,0.15,0.0,0.0,0.0,0.0,0.0
으세요,5,0.5599999999999999,0.1,0.0,0.02,0.27999999999999997,0.0,0.04
데요,1,0.0,0.1,0.0,0.0,0.9,0.0,0.0
고요,3,0.39999999999999997,0.10000000000000002,0.0,0.0,0.5,0.0,0.0
드라,1,0.0,0.1,0.0,0.0,0.9,0.0,0.0
니깐요,3,0.3666666666666667,0.16666666666666666,0.0,0.0,0.46666666666666673,0.0,0.0
다는데,3,0.0,0.0,0.20000000000000004,0.0,0.13333333333333333,0.2333333333333333,0.4333333333333333
을걸,1,0.0,0.0,0.0,0.2,0.3,0.5,0.0
ᆷ,6,0.3833333333333333,0.06666666666666667,0.06666666666666667,0.2333333333333333,0.11666666666666665,0.0,0.13333333333333333
느냐고요,1,0.7,0.1,0.0,0.0,0.2,0.0,0.0
ᆯ라나,3,0.16666666666666666,0.10000000000000002,0.0,0.0,0.7333333333333334,0.0,0.0
대요,1,0.0,0.0,0.0,0.0,0.2,0.8,0.0
다매,1,0.0,0.0,0.0,0.0,0.1,0.1,0.8
다고요,5,0.74,0.12000000000000002,0.0,0.0,0.13999999999999999,0.0,0.0
으니까요,7,0.41428571428571426,0.17142857142857143,0.0,0.0,0.41428571428571426,0.0,0.0
군요,20,0.2749999999999999,0.275,0.0,0.01,0.43999999999999995,0.0,0.0
ᆫ데요,6,0.7666666666666666,0.06666666666666667,0.0,0.016666666666666666,0.09999999999999999,0.0,0.049999999999999996
이,1,0.9,0.0,0.0,0.0,0.1,0.0,0.0
대매,3,0.3333333333333333,0.0,0.2333333333333333,0.0,0.09999999999999999,0.06666666666666667,0.26666666666666666
니까요,8,0.4625,0.225,0.0,0.0125,0.28750000000000003,0.0,0.0125
여,1,0.0,0.1,0.0,0.0,0.9,0.0,0.0
는지,1,0.8,0.1,0.0,0.0,0.1,0.0,0.0
던가,9,0.5444444444444445,0.12222222222222223,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0
ᆫ다구,2,0.25,0.0,0.15,0.25,0.35,0.0,0.0
다니깐,2,0.0,0.0,0.0,0.95,0.05,0.0,0.0
게,4,0.05,0.025,0.0,0.32499999999999996,0.44999999999999996,0.025,0.125
냐고요,1,0.7,0.3,0.0,0.0,0.0,0.0,0.0
는가,1,0.1,0.0,0.0,0.0,0.9,0.0,0.0
데,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
든가,5,0.19999999999999998,0.24,0.0,0.04,0.5,0.0,0.02
음,1,0.0,0.0,0.0,0.0,0.5,0.5,0.0
는걸요,1,0.4,0.4,0.0,0.2,0.0,0.0,0.0
ᆫ다고요,2,0.6499999999999999,0.15,0.0,0.0,0.1,0.0,0.1
ᆯ래요,2,0.15000000000000002,0.3,0.0,0.0,0.55,0.0,0.0
래니까,1,0.5,0.4,0.0,0.0,0.1,0.0,0.0
던지,2,0.8,0.1,0.0,0.0,0.1,0.0,0.0
으,1,0.5,0.4,0.0,0.0,0.1,0.0,0.0
라며,3,0.0,0.03333333333333333,0.0,0.16666666666666666,0.7999999999999999,0.0,0.0
면서,1,0.0,0.1,0.0,0.1,0.8,0.0,0.0
라면서요,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
다니요,1,0.9,0.0,0.0,0.0,0.0,0.0,0.1
려나,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
오,1,0.0,0.0,0.0,0.9,0.1,0.0,0.0
ᆫ지,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
자구요,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ᆯ려나,2,0.05,0.0,0.0,0.35,0.6,0.0,0.0
단가,1,0.0,0.0,0.0,0.8,0.2,0.0,0.0
ᆫ거야,1,0.0,0.0,0.0,0.0,0.1,0.0,0.9
는구만,1,0.4,0.5,0.0,0.0,0.1,0.0,0.0
라니요,1,0.6,0.0,0.3,0.0,0.0,0.0,0.1
던데요,1,0.9,0.1,0.0,0.0,0.0,0.0,0.0
다니,1,0.1,0.1,0.0,0.0,0.7,0.0,0.1
